polymer,dopant,context,page
PEDOT,PSS-coated,"oisture permeability.98 In this report, the σ, α, and PF of
PEDOT:PSS-coated polyester fabric were 1.5 S cm-1, 18.5 μV K-1,
and 45 μW m-",14
Te/PEDOT,PSS,"mm3)
Fabrication
Method
Ref
n-type
p-type
n-type p-type
N/A
Te/PEDOT:PSS
N/A
284
10
0.01059
12.75
16 (legs)
N/A
N/A
9
N/A
PEDOT:PSS",15
PEDOT,PSS/ITO,".51 
11.3 
3
16×10×0.15
Drop-casting,
selectable doping
103
PEDOT:PSS/ITO
PEDOT:PSS
N/A
N/A
20
8.6×10-4
6.8 
8
50×5
Spin coating
104",15
CNT/PEDOT,PSS/PEI,"EI
urea-SWNTs
50
15
50
0.96
7
4
40×40
Vacuum filtration
109
CNT/PEDOT:PSS/PEI
CNT/PEDOT:PSS
113
83.2
10
0.430
8
12 
0.5×15
Wet spinning
1",15
CNT/PEDOT,PSS,"5
50
0.96
7
4
40×40
Vacuum filtration
109
CNT/PEDOT:PSS/PEI
CNT/PEDOT:PSS
113
83.2
10
0.430
8
12 
0.5×15
Wet spinning
110
SWNT/PEI
PE",15
PEDOT,PSS/NaOH,"cs
N/A
N/A
60
375 
45.2
8
47.5
(mm, length)
Soaking
112
N/A
PEDOT:PSS/NaOH
N/A
N/A
85.5
0.32
52.3
162 (legs) 
5×5
Screen printed
113
C",15
PEDOT,PSS-based,"se to vertical
heat flow.99,105,113 Cho et al. introduced a PEDOT:PSS-based TE
device with a chevron device structure and thermally ins",16
PEDOT,PSS/DMSO,"structure and thermally insulat-
ing PU (Figure 7(a)).105 A PEDOT:PSS/DMSO film was prepared
using the electro-spraying process. TE pr",16
ITO)-PEDOT,PSS,"ice using PEDOT:PSS as the p-type leg and indium tin oxide
(ITO)-PEDOT:PSS as the n-type leg (Figure 8(a)).104 Deposition
of the condu",17
ITO-PEDOT,PSS,"e ITO served
to maintain the mechanical flexibility of ITO. ITO-PEDOT:PSS
showed a negative α value (-14.27 μV K-1) and slightly lowe",17
tellurium-PEDOT,PSS,"generators by a simple printing process
using H2SO4-treated tellurium-PEDOT:PSS (Te-PEDOT:PSS). TE
properties of PEDOT:PSS and Te-PEDOT:PSS",17
Te-PEDOT,PSS,"e printing process
using H2SO4-treated tellurium-PEDOT:PSS (Te-PEDOT:PSS). TE
properties of PEDOT:PSS and Te-PEDOT:PSS hybrid compos",17
concentration,as,"nd α have a
trade-off relationship depending on the carrier concentration:
as the carrier density increases, σ increases, but α decreases",20
